City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
lashio,22.9333,97.75,50.18,82,0,1.25,MM,1706576993
college,64.8569,-147.8028,-9.8,61,100,0.0,US,1706576993
waitangi,-43.9535,-176.5597,66.81,94,94,5.99,NZ,1706576993
progreso,21.2833,-89.6667,70.11,66,100,10.22,MX,1706576994
port mathurin,-19.6833,63.4167,79.81,87,100,23.8,MU,1706576994
thompson,55.7435,-97.8558,19.27,98,85,3.13,CA,1706576994
bethel,41.3712,-73.414,35.47,71,33,1.99,US,1706576994
udachny,66.4167,112.4,-14.78,100,99,2.21,RU,1706576994
maceio,-9.6658,-35.7353,78.24,94,20,3.44,BR,1706576911
iqaluit,63.7506,-68.5145,-18.31,68,100,6.06,CA,1706576995
san patricio,28.017,-97.5169,60.17,52,96,7.47,US,1706576995
invercargill,-46.4,168.35,62.02,88,99,11.01,NZ,1706576995
trincomalee,8.5711,81.2335,78.84,83,80,13.96,LK,1706576995
nova vicosa,-17.8919,-39.3719,78.51,85,100,14.16,BR,1706576996
kwang binh,17.4833,106.6,65.91,87,95,2.93,VN,1706576996
nazarabad,35.9521,50.6075,33.82,67,81,4.5,IR,1706576996
stanley,54.868,-1.6985,41.72,93,100,16.37,GB,1706576996
longyearbyen,78.2186,15.6401,28.24,80,75,10.36,SJ,1706576996
ribeira grande,38.5167,-28.7,62.78,90,100,17.0,PT,1706576996
aspen,39.1911,-106.8175,35.67,64,0,6.91,US,1706576958
tura,25.5198,90.2201,53.37,64,0,2.75,IN,1706576997
tiksi,71.6872,128.8694,-16.71,98,88,6.15,RU,1706576997
bredasdorp,-34.5322,20.0403,68.58,71,93,8.1,ZA,1706576997
grand falls-windsor,48.9332,-55.6649,12.51,87,97,7.0,CA,1706576997
yelizovo,53.1873,158.3805,8.74,72,20,4.47,RU,1706576997
tokonou,9.65,-9.7833,70.5,21,38,3.24,GN,1706576998
yellowknife,62.456,-114.3525,32.41,100,59,8.66,CA,1706576917
puerto natales,-51.7236,-72.4875,49.82,96,99,4.07,CL,1706576998
awjilah,29.1081,21.2869,53.53,45,100,3.89,LY,1706576998
hawaiian paradise park,19.5933,-154.9731,85.89,70,20,14.97,US,1706576998
hermanus,-34.4187,19.2345,64.8,82,100,4.94,ZA,1706576998
iguai,-14.7564,-40.0892,71.01,94,100,4.09,BR,1706576999
margaret river,-33.95,115.0667,68.07,50,0,6.26,AU,1706576999
konarka,19.9,86.1167,63.0,69,28,4.0,IN,1706576775
la gi,10.6667,107.7833,77.13,65,60,9.24,VN,1706576999
puerto ayora,-0.7393,-90.3518,77.67,87,98,9.15,EC,1706576999
galesong,-5.3166,119.3661,80.62,81,100,5.91,ID,1706576999
adamstown,-25.066,-130.1015,76.53,77,100,11.41,PN,1706576999
hovd,48.0056,91.6419,-7.22,86,10,1.43,MN,1706577000
port-aux-francais,-49.35,70.2167,38.95,71,99,37.47,TF,1706577000
wailua homesteads,22.0669,-159.378,81.39,65,0,20.71,US,1706577000
buka,40.8108,69.1986,39.85,85,100,0.4,UZ,1706577000
avarua,-21.2078,-159.775,86.05,79,20,9.22,CK,1706577000
labuan,5.2767,115.2417,79.12,78,100,6.51,MY,1706577001
rio grande,-32.035,-52.0986,69.04,83,0,9.53,BR,1706577001
dhidhdhoo,6.8833,73.1,81.18,70,22,7.83,MV,1706577001
constantia,44.1833,28.65,34.7,81,100,18.75,RO,1706577001
sycow,51.3081,17.7198,36.5,65,100,9.6,PL,1706577001
opuwo,-18.0607,13.84,75.45,53,100,9.1,NA,1706577002
ilulissat,69.2167,-51.1,-7.58,64,100,16.11,GL,1706577002
zakamensk,50.3741,103.2863,-16.83,100,100,0.31,RU,1706577002
prachuap khiri khan,12.2167,99.75,80.69,84,90,1.5,TH,1706577003
ushuaia,-54.8,-68.3,51.46,46,20,11.5,AR,1706577003
talnakh,69.4865,88.3972,1.2,87,100,8.32,RU,1706577003
puri,19.8,85.85,63.12,66,12,5.57,IN,1706577003
yuli,9.6989,10.2744,70.57,24,5,6.4,NG,1706577004
howard springs,-12.497,131.047,73.31,78,48,8.7,AU,1706577004
askoy,60.4092,5.226,36.75,100,100,2.3,NO,1706577004
piacabucu,-10.4056,-36.4344,78.49,85,6,8.61,BR,1706577005
ierapetra,35.01,25.7353,48.15,70,10,11.99,GR,1706577005
sitangkai,4.6628,119.3928,81.37,80,100,14.97,PH,1706577005
kasane,-17.8167,25.15,69.15,78,100,3.96,BW,1706577005
alesund,62.4723,6.1549,42.94,61,20,11.5,NO,1706577005
qaqortoq,60.7167,-46.0333,-13.09,77,4,6.42,GL,1706577006
timimoun,29.2639,0.231,56.68,45,0,12.39,DZ,1706577006
albany,42.6001,-73.9662,30.25,80,97,4.45,US,1706576952
bel ombre,-4.6167,55.4167,82.42,76,100,11.43,SC,1706577006
angra do heroismo,38.65,-27.2167,61.12,96,36,8.01,PT,1706577006
afaahiti,-17.75,-149.2833,85.87,76,95,3.04,PF,1706577007
kapuskasing,49.4169,-82.4331,33.8,75,100,11.5,CA,1706576749
port elizabeth,-33.918,25.5701,70.32,83,97,1.99,ZA,1706577007
sitka,57.0531,-135.33,49.89,66,75,19.57,US,1706577007
isafjordur,66.0755,-23.124,25.18,83,100,10.31,IS,1706577007
ilebo,-4.3167,20.5833,72.14,96,100,1.59,CD,1706577008
manohar thana,24.24,76.8018,59.94,43,100,1.81,IN,1706577008
lebu,-37.6167,-73.65,56.66,84,29,9.64,CL,1706577008
guantanamo,20.1444,-75.2092,78.37,89,25,6.89,CU,1706577008
puerto baquerizo moreno,-0.9,-89.6,77.5,87,88,11.83,EC,1706577008
utrik,11.2278,169.8474,79.65,70,100,13.67,MH,1706577009
ginir,7.1333,40.7,60.15,70,31,5.23,ET,1706577009
papao,-17.75,-149.55,87.48,77,68,3.09,PF,1706577009
bilibino,68.0546,166.4372,-22.56,98,100,3.58,RU,1706577009
petropavlovsk-kamchatsky,53.0452,158.6483,7.39,72,20,4.47,RU,1706576825
kangding,30.0513,101.9603,34.47,56,0,6.51,CN,1706577010
mongagua,-24.0931,-46.6208,75.65,84,4,4.99,BR,1706577010
jiwani,25.05,61.7417,72.66,73,98,11.83,PK,1706577010
tsiombe,-25.3,45.4833,72.48,81,0,13.65,MG,1706577011
elliot lake,46.3834,-82.6331,29.28,96,100,7.16,CA,1706577011
juneau,58.3019,-134.4197,44.6,93,100,32.21,US,1706576962
nouadhibou,20.931,-17.0347,64.38,55,0,2.3,MR,1706577011
edinburgh of the seven seas,-37.0676,-12.3116,59.9,68,91,21.39,SH,1706577011
fale old settlement,-9.3852,-171.2468,85.35,70,73,6.15,TK,1706577012
tezu,27.9167,96.1667,56.73,51,97,3.89,IN,1706577012
nogliki,51.8333,143.1667,9.03,91,100,5.14,RU,1706577012
at taj,24.2049,23.2857,46.6,58,0,8.32,LY,1706577012
grytviken,-54.2811,-36.5092,45.55,71,40,10.13,GS,1706577012
naze,28.3667,129.4833,60.89,60,78,9.8,JP,1706577013
kiruna,67.8557,20.2251,27.52,80,75,20.71,SE,1706577013
ulverstone,-41.15,146.1667,69.73,71,0,5.23,AU,1706577013
merizo village,13.2658,144.6691,82.96,77,95,21.36,GU,1706577013
remire-montjoly,4.9167,-52.2667,75.24,100,100,0.0,GF,1706577014
port lincoln,-34.7333,135.8667,67.41,65,42,11.77,AU,1706577014
tougan,13.0667,-3.0667,70.79,17,46,9.17,BF,1706577015
blackmans bay,-43.0167,147.3167,72.73,36,0,1.01,AU,1706577015
tazovsky,67.4667,78.7,-11.24,97,60,11.14,RU,1706577015
sefrou,33.8319,-4.828,40.15,81,0,5.75,MA,1706577015
antofagasta,-23.65,-70.4,68.9,82,55,5.84,CL,1706577016
acarau,-2.8856,-40.12,80.87,80,69,15.23,BR,1706577016
namibe,-15.1961,12.1522,72.9,77,14,3.13,AO,1706577016
dudinka,69.4058,86.1778,1.62,78,100,18.07,RU,1706577016
nema,57.5067,50.5011,23.4,97,100,7.67,RU,1706577017
badger,64.8,-147.5333,-9.87,69,100,0.0,US,1706577017
jamestown,42.097,-79.2353,33.03,97,100,6.91,US,1706576937
nova sintra,14.8667,-24.7167,69.91,67,99,16.8,CV,1706577017
oconomowoc,43.1117,-88.4993,34.56,96,100,13.8,US,1706577017
cockburn town,21.4612,-71.1419,78.57,74,0,15.28,TC,1706577018
west island,-12.1568,96.8225,80.58,89,0,1.14,CC,1706577018
olonkinbyen,70.9221,-8.7187,22.55,62,100,18.43,SJ,1706577018
menominee,45.1078,-87.6143,34.25,86,100,6.91,US,1706577018
moss bluff,30.3027,-93.1907,55.38,68,0,5.75,US,1706577018
umm kaddadah,13.6017,26.6876,60.17,30,97,14.72,SD,1706577019
whakatane,-37.9585,176.9854,81.88,63,96,8.99,NZ,1706577019
tadine,-21.55,167.8833,82.94,63,28,9.06,NC,1706577019
punta arenas,-53.15,-70.9167,53.71,54,40,9.22,CL,1706577019
marina di cerveteri,41.98,12.0529,47.62,55,4,3.78,IT,1706577020
berezovyy,51.6667,135.7,3.38,75,70,2.26,RU,1706577020
rapla,59.0072,24.7928,35.08,97,100,3.27,EE,1706577020
shalqar,47.8333,59.6,5.94,93,76,10.13,KZ,1706577020
peterhead,57.5058,-1.7981,30.6,74,100,5.77,GB,1706577020
lionel town,17.8101,-77.2406,80.49,78,3,1.59,JM,1706577021
kudahuvadhoo,2.6708,72.8944,81.19,80,23,11.86,MV,1706577021
san pedro pochutla,15.7333,-96.4667,83.91,68,0,5.7,MX,1706577021
grinnell,41.743,-92.7224,42.78,83,0,10.36,US,1706577021
rayachoti,14.05,78.75,59.65,91,92,2.37,IN,1706577021
tyukhtet,56.5389,89.3011,3.99,97,100,1.81,RU,1706577022
faya-largeau,17.9257,19.1043,61.66,30,43,25.14,TD,1706577022
pisco,-13.7,-76.2167,77.05,73,0,14.97,PE,1706577022
corinto,37.9407,22.9573,41.9,75,97,13.82,GR,1706577022
ulladulla,-35.35,150.4667,76.77,74,98,7.14,AU,1706577023
cartagena,10.3997,-75.5144,78.55,80,25,17.16,CO,1706576940
st. john's,47.5649,-52.7093,24.98,95,100,33.38,CA,1706577023
chulakkurgan,43.765,69.1814,26.46,83,11,9.78,KZ,1706577023
saint-philippe,-21.3585,55.7679,76.59,84,10,8.48,RE,1706577023
tevriz,57.509,72.4042,3.63,98,100,1.07,RU,1706577023
cooma,-36.2333,149.1333,74.84,44,0,4.94,AU,1706577024
dhone,15.4167,77.8833,63.63,72,83,5.1,IN,1706577024
gaspe,48.8334,-64.4819,8.02,77,19,13.22,CA,1706576807
bonthe,7.5264,-12.505,78.33,82,100,4.52,SL,1706577024
urengoy,65.9667,78.3667,-12.44,99,89,9.82,RU,1706577024
nueve de julio,-35.4444,-60.8831,79.97,53,0,1.01,AR,1706577024
yanbu,24.0891,38.0637,59.04,72,0,4.61,SA,1706577025
atafu village,-8.5421,-172.5159,85.5,70,100,8.97,TK,1706577025
portland,45.5234,-122.6762,59.61,76,75,7.0,US,1706576925
carnarvon,-24.8667,113.6333,78.87,63,0,16.08,AU,1706577025
alofi,-19.0595,-169.9187,81.45,76,98,8.1,NU,1706577026
praia da vitoria,38.7333,-27.0667,60.76,96,17,10.6,PT,1706577026
saipan,15.1355,145.701,83.1,61,20,19.57,MP,1706577026
hiratacho,35.4333,132.8167,46.54,71,96,3.4,JP,1706577026
rikaze,29.25,88.8833,18.63,67,0,3.76,CN,1706577027
geraldton,-28.7667,114.6,79.21,41,0,8.05,AU,1706576824
sagua la grande,22.8067,-80.0756,65.39,60,31,10.96,CU,1706576773
kristiansund,63.1115,7.732,43.45,49,3,14.97,NO,1706577027
whitehorse,60.7161,-135.0538,39.97,84,75,20.71,CA,1706576776
aasiaat,68.7098,-52.8699,-15.14,96,100,4.7,GL,1706577027
anadyr,64.75,177.4833,-30.5,75,20,11.18,RU,1706577028
suntar,62.1444,117.6319,-40.63,100,60,3.13,RU,1706577028
kidal,18.4411,1.4078,63.82,18,0,12.93,ML,1706577028
spring creek,40.7266,-115.5859,47.89,84,5,3.33,US,1706577028
benghazi,32.1167,20.0667,53.15,70,48,10.29,LY,1706577028
agde,43.3108,3.4758,55.89,93,100,8.05,FR,1706577029
salekhard,66.53,66.6019,-12.12,100,100,4.79,RU,1706577029
arar,30.9753,41.0381,48.22,46,0,5.75,SA,1706577029
rongelap,11.1635,166.8941,79.25,78,74,16.55,MH,1706577029
klyuchi,52.2667,79.1667,-0.11,97,82,6.64,RU,1706577029
selfoss,63.9331,-20.9971,30.04,73,100,25.84,IS,1706577029
forked river,39.8398,-74.1901,39.11,72,100,5.75,US,1706577030
aykhal,66.0,111.5,-12.69,100,98,2.37,RU,1706577030
saint-francois,46.4154,3.9054,42.66,93,100,3.44,FR,1706577030
hafar al-batin,28.4328,45.9708,54.18,54,0,14.97,SA,1706577030
soc trang,9.6033,105.98,79.48,67,41,14.03,VN,1706577030
yuzhno-kurilsk,44.0306,145.8556,33.37,77,28,3.78,RU,1706577031
emerald,-23.5333,148.1667,86.34,76,100,5.23,AU,1706577031
batang,-6.4846,110.7083,82.35,79,95,6.38,ID,1706577031
codrington,-38.2667,141.9667,68.59,51,0,11.43,AU,1706577031
georgetown,5.4112,100.3354,81.95,74,20,6.91,MY,1706577031
antalaha,-14.9003,50.2788,75.13,91,97,6.64,MG,1706577031
labytnangi,66.6572,66.4183,-12.86,100,100,3.71,RU,1706577032
kupjansk,49.7209,37.5998,25.23,92,100,7.29,UA,1706577032
east london,-33.0153,27.9116,75.85,79,67,21.03,ZA,1706577032
vorgashor,67.5833,63.95,2.61,92,100,13.73,RU,1706577032
aras-asan,8.8908,126.3033,78.71,88,100,13.38,PH,1706577032
auki,-8.7676,160.7034,79.72,89,100,12.75,SB,1706577033
freetown,8.484,-13.2299,77.97,79,100,6.17,SL,1706577033
darwin,-12.4611,130.8418,73.38,100,100,4.61,AU,1706577033
ceerigaabo,10.6162,47.368,59.49,79,27,3.4,SO,1706577033
alderetes,-26.8167,-65.1333,75.11,83,0,5.75,AR,1706577033
bubaque,11.2833,-15.8333,78.33,68,34,9.73,GW,1706577034
port alfred,-33.5906,26.891,70.18,94,100,8.01,ZA,1706577034
dedza,-14.3779,34.3332,56.17,83,10,1.92,MW,1706577034
charters towers,-20.1,146.2667,93.9,46,91,8.59,AU,1706577034
mthatha,-31.5889,28.7844,71.69,70,15,5.08,ZA,1706577034
okhotsk,59.3833,143.3,-10.19,81,44,8.12,RU,1706577035
inhambane,-23.865,35.3833,75.04,88,13,6.13,MZ,1706577035
bochum,51.4833,7.2167,48.74,69,100,4.97,DE,1706577035
iskateley,67.6803,53.1512,23.02,91,100,25.99,RU,1706577035
linares,-35.85,-71.6,70.63,28,2,5.97,CL,1706577035
waingapu,-9.6567,120.2641,84.18,67,99,5.55,ID,1706577035
chonchi,-42.6128,-73.8092,59.32,74,100,1.1,CL,1706577036
kupang,-10.1667,123.5833,86.58,84,40,12.66,ID,1706576946
lihue,21.9789,-159.3672,81.99,65,0,20.71,US,1706577036
haiku-pauwela,20.9219,-156.3051,80.17,71,40,18.41,US,1706577036
weno,7.4515,151.8468,80.55,94,100,12.66,FM,1706577036
nemuro,43.3236,145.575,32.38,78,12,5.91,JP,1706577036
basco,20.4487,121.9702,73.42,71,100,21.65,PH,1706577037
gamba,-2.65,10.0,78.91,89,100,2.82,GA,1706577037
palafrugell,41.9174,3.1631,54.43,92,100,1.01,ES,1706577037
severo-yeniseyskiy,60.3725,93.0408,-21.42,98,41,4.0,RU,1706577037
cidreira,-30.1811,-50.2056,70.79,88,3,4.7,BR,1706577037
uige,-7.6087,15.0613,67.21,95,100,1.21,AO,1706577038
papatowai,-46.5619,169.4708,65.28,70,99,12.59,NZ,1706577038
albert,50.0009,2.651,50.07,88,0,8.05,FR,1706577038
abu al matamir,30.9102,30.1744,51.57,56,54,14.85,EG,1706577038
hamilton,39.1834,-84.5333,36.84,84,100,6.91,US,1706576988
marand,38.4329,45.7749,26.29,92,100,3.04,IR,1706577039
ayaviri,-14.8864,-70.5889,46.58,91,100,0.89,PE,1706577039
mejit,10.2753,170.8646,78.85,79,100,18.05,MH,1706577039
ta`u,-14.2336,-169.5144,84.15,77,72,8.43,AS,1706577039
kodiak,57.79,-152.4072,8.11,47,0,14.97,US,1706577039
machico,32.7,-16.7667,66.0,82,20,4.61,PT,1706577040
bandar abbas,27.1865,56.2808,55.38,71,0,4.61,IR,1706577040
zapata,26.9073,-99.2714,64.51,32,0,0.0,US,1706576758
fukuecho,32.6881,128.8419,49.51,57,100,1.92,JP,1706577040
howrah,22.5892,88.3103,60.8,88,20,3.44,IN,1706577040
dombarovskiy,50.7587,59.5386,-6.0,100,57,1.99,RU,1706577041
altay,47.8667,88.1167,3.38,69,16,5.99,CN,1706577041
sanming,26.2486,117.6186,58.98,90,47,0.22,CN,1706576924
kingston,17.997,-76.7936,79.75,79,40,0.0,JM,1706576794
mezhdurechenskiy,59.6,65.9333,-10.48,100,100,3.87,RU,1706577041
saudarkrokur,65.7461,-19.6394,26.92,87,82,9.46,IS,1706577042
novo aripuana,-5.1206,-60.3797,74.01,95,96,2.08,BR,1706577042
enewetak,11.3474,162.3373,79.32,54,1,11.03,MH,1706577042
santa terezinha,-29.9002,-50.0904,70.97,88,6,3.56,BR,1706577042
cabo san lucas,22.8909,-109.9124,79.9,47,100,9.22,MX,1706576805
sufalat sama'il,23.3167,58.0167,65.88,69,77,4.21,OM,1706577042
peniche,39.3558,-9.3811,54.45,95,64,7.58,PT,1706577043
jayapura,-2.5333,140.7,87.19,70,100,1.97,ID,1706577043
tocache,-8.1842,-76.5125,74.1,94,87,1.01,PE,1706577043
kittila,67.6647,24.8936,32.14,69,0,18.41,FI,1706577043
conception bay south,47.4999,-52.9981,24.75,95,100,29.75,CA,1706577043
puerto aysen,-45.4,-72.7,54.91,88,100,3.74,CL,1706577043
mariental,-24.6333,17.9667,74.16,51,98,2.26,NA,1706577044
bakanas,44.8081,76.2772,22.05,94,100,5.88,KZ,1706577044
elsterberg,50.6084,12.1679,41.94,79,55,3.0,DE,1706577044
campbell river,50.0163,-125.2446,50.59,99,100,7.61,CA,1706576885
port moresby,-9.4431,147.1797,88.3,61,18,9.86,PG,1706576927
bone south,16.2446,120.9958,70.81,65,1,5.7,PH,1706577045
kroya,-7.6331,109.2461,81.27,79,100,3.29,ID,1706577045
cullowhee,35.3137,-83.1765,39.31,82,0,5.75,US,1706577045
springfield,37.2153,-93.2982,49.89,73,0,4.61,US,1706577015
puerto maldonado,-12.6,-69.1833,75.72,97,100,1.79,PE,1706577045
saint croix,17.7397,-64.7388,73.96,84,40,4.61,VI,1706577045
changli,39.7042,119.1506,25.38,72,100,5.41,CN,1706577046
pombas,17.1503,-25.0201,69.58,72,100,10.02,CV,1706577046
bairnsdale,-37.8333,147.6167,71.06,75,89,1.99,AU,1706577046
fortaleza,-3.7227,-38.5247,86.07,87,0,11.5,BR,1706576972
lesosibirsk,58.2358,92.4828,-7.1,84,6,8.05,RU,1706577046
vilyuchinsk,52.9306,158.4028,8.87,77,100,6.53,RU,1706577047
sur,22.5667,59.5289,72.86,75,100,5.28,OM,1706577047
baruun-urt,46.6806,113.2792,-17.97,97,100,4.85,MN,1706577047
duck lake,52.8168,-106.2344,29.37,86,100,8.81,CA,1706577047
thai binh,20.45,106.3333,60.85,81,100,2.62,VN,1706577047
vadso,70.0744,29.7487,32.88,80,20,39.12,NO,1706577047
dubovskoye,47.4092,42.7575,17.98,95,11,5.39,RU,1706577048
borkum,53.5809,6.6915,44.55,94,100,11.45,DE,1706577048
adrar,20.5022,-10.0711,60.89,15,0,10.63,MR,1706577048
lata,40.1629,-8.3327,50.07,82,39,3.83,PT,1706577048
arraial do cabo,-22.9661,-42.0278,76.24,89,7,3.98,BR,1706577048
fallon,39.4735,-118.7774,57.92,63,75,9.22,US,1706577048
la rinconada,37.4873,-5.9826,53.06,89,6,4.7,ES,1706577049
labrador city,52.9463,-66.9114,-23.82,65,5,2.24,CA,1706577049
nar'yan-mar,67.6713,53.087,23.11,91,100,25.99,RU,1706577049
